Task ID,Role,Product Type,Experience Level,Environment,Product Reviews Conducted,Bugs Found,DB Queries Executed,Deployments Tested,Time Spent (hrs),Product Quality Score (%)
TASK-1000,Backend Developer,Mobile App,Junior,Development,0,3,24,8,9.94,33.09
TASK-1001,QA Engineer,Web App,Junior,Staging,0,3,10,8,7.26,22.44
TASK-1002,Backend Developer,Mobile App,Senior,Development,0,2,31,5,9.91,24.87
TASK-1003,Backend Developer,Mobile App,Senior,Production,0,4,42,6,12.58,36.02
TASK-1004,Product Manager,Mobile App,Junior,Staging,16,2,11,0,10.28,44.47
TASK-1005,Product Manager,Mobile App,Senior,Staging,3,4,18,0,7.24,20.06
TASK-1006,Backend Developer,Internal Tool,Junior,Production,0,1,13,9,7.4,30.54
TASK-1007,Backend Developer,API Service,Junior,Staging,0,3,69,7,19.67,52.87
TASK-1008,Backend Developer,Internal Tool,Mid-Level,Production,0,2,87,1,20.21,37.4
TASK-1009,Product Manager,Web App,Mid-Level,Staging,2,1,3,0,2.81,9.41
TASK-1010,Product Manager,Internal Tool,Junior,Production,16,3,7,0,8.94,42.3
TASK-1011,QA Engineer,API Service,Junior,Development,0,5,12,9,9.08,22.93
TASK-1012,QA Engineer,Mobile App,Mid-Level,Staging,0,9,6,9,9.96,19.56
TASK-1013,Backend Developer,API Service,Senior,Development,0,2,90,8,23.65,69.77
TASK-1014,QA Engineer,Web App,Senior,Staging,0,5,9,7,8.43,19.21
TASK-1015,Product Manager,Web App,Mid-Level,Staging,9,3,1,0,5.28,14.65
TASK-1016,Product Manager,Mobile App,Mid-Level,Production,5,2,11,0,6.12,16.48
TASK-1017,QA Engineer,API Service,Junior,Production,0,1,2,5,3.43,18.42
TASK-1018,QA Engineer,Web App,Senior,Production,0,14,6,9,12.49,10.66
TASK-1019,Backend Developer,Mobile App,Senior,Development,0,3,86,3,20.94,46.0
TASK-1020,Product Manager,Web App,Junior,Production,4,4,6,0,6.14,4.41
TASK-1021,QA Engineer,API Service,Senior,Development,0,4,12,7,7.8,18.49
TASK-1022,Backend Developer,Web App,Senior,Production,0,1,51,9,15.25,46.22
TASK-1023,Product Manager,Web App,Junior,Production,12,3,19,0,9.95,39.84
TASK-1024,QA Engineer,API Service,Junior,Staging,0,10,6,1,8.02,0.0
TASK-1025,Backend Developer,API Service,Junior,Development,0,0,86,9,21.36,67.47
TASK-1026,QA Engineer,Internal Tool,Senior,Production,0,11,8,5,9.55,7.07
TASK-1027,Product Manager,API Service,Junior,Staging,15,2,8,0,7.77,37.77
TASK-1028,Backend Developer,API Service,Senior,Development,0,1,61,7,15.54,49.87
TASK-1029,QA Engineer,Internal Tool,Mid-Level,Staging,0,1,16,1,5.07,11.22
TASK-1030,Product Manager,Internal Tool,Junior,Staging,5,0,0,0,2.21,10.39
TASK-1031,Product Manager,Web App,Senior,Staging,12,1,5,0,6.48,25.25
TASK-1032,Backend Developer,Internal Tool,Senior,Staging,0,2,65,1,15.0,39.42
TASK-1033,QA Engineer,Internal Tool,Senior,Production,0,4,1,6,6.21,10.55
TASK-1034,Backend Developer,API Service,Senior,Staging,0,0,82,6,20.19,61.16
TASK-1035,Backend Developer,Mobile App,Senior,Development,0,3,68,4,17.7,39.67
TASK-1036,QA Engineer,API Service,Junior,Production,0,3,19,7,9.37,21.43
TASK-1037,QA Engineer,Web App,Mid-Level,Staging,0,7,17,8,10.91,17.57
TASK-1038,Backend Developer,API Service,Senior,Staging,0,0,59,7,16.54,52.48
TASK-1039,Backend Developer,Mobile App,Senior,Production,0,3,25,9,10.24,35.59
TASK-1040,Backend Developer,Web App,Junior,Production,0,0,57,5,14.53,47.41
TASK-1041,Product Manager,Mobile App,Senior,Production,9,0,2,0,4.51,25.86
TASK-1042,QA Engineer,Mobile App,Junior,Production,0,4,0,8,6.53,23.51
TASK-1043,QA Engineer,Web App,Junior,Staging,0,14,2,9,12.09,0.92
TASK-1044,Backend Developer,Mobile App,Junior,Development,0,2,89,9,22.73,68.37
TASK-1045,QA Engineer,Mobile App,Senior,Staging,0,8,7,7,8.72,18.02
TASK-1046,Product Manager,Internal Tool,Senior,Staging,16,3,18,0,10.24,48.1
TASK-1047,QA Engineer,Internal Tool,Junior,Development,0,14,5,6,11.84,0.0
TASK-1048,Backend Developer,Web App,Senior,Production,0,2,36,2,10.65,14.28
TASK-1049,QA Engineer,API Service,Mid-Level,Development,0,1,4,3,4.24,11.48
TASK-1050,QA Engineer,Mobile App,Junior,Staging,0,1,11,5,5.86,21.53
TASK-1051,Product Manager,API Service,Junior,Development,5,4,16,0,8.76,22.23
TASK-1052,Backend Developer,Web App,Senior,Staging,0,3,72,5,18.6,42.43
TASK-1053,Product Manager,Mobile App,Senior,Development,3,1,9,0,4.29,12.43
TASK-1054,Product Manager,Web App,Junior,Staging,8,1,14,0,7.23,25.76
TASK-1055,QA Engineer,Mobile App,Senior,Staging,0,1,7,1,3.51,1.36
TASK-1056,QA Engineer,Internal Tool,Junior,Development,0,7,9,7,8.32,12.45
TASK-1057,Product Manager,Internal Tool,Junior,Production,13,3,6,0,8.32,31.04
TASK-1058,QA Engineer,Web App,Junior,Staging,0,1,7,3,3.52,3.5
TASK-1059,Backend Developer,Internal Tool,Mid-Level,Production,0,1,41,7,11.9,46.01
TASK-1060,QA Engineer,Internal Tool,Senior,Staging,0,10,16,4,9.8,7.13
TASK-1061,Backend Developer,Mobile App,Junior,Production,0,4,69,5,19.41,42.74
TASK-1062,Backend Developer,API Service,Junior,Staging,0,3,56,3,15.58,36.64
TASK-1063,Product Manager,Web App,Senior,Production,13,1,9,0,7.72,32.36
TASK-1064,Product Manager,Internal Tool,Junior,Production,19,3,4,0,9.89,41.61
TASK-1065,QA Engineer,Web App,Junior,Production,0,1,0,2,2.14,3.48
TASK-1066,Backend Developer,Mobile App,Junior,Development,0,0,10,7,5.41,35.62
TASK-1067,Backend Developer,Mobile App,Junior,Staging,0,4,76,3,19.28,50.36
TASK-1068,Product Manager,Internal Tool,Mid-Level,Production,16,4,6,0,8.76,26.53
TASK-1069,Product Manager,Internal Tool,Junior,Staging,5,1,9,0,4.8,19.28
TASK-1070,QA Engineer,Mobile App,Mid-Level,Production,0,8,4,4,7.68,2.74
TASK-1071,QA Engineer,API Service,Mid-Level,Development,0,2,16,4,5.85,23.4
TASK-1072,Backend Developer,Internal Tool,Junior,Staging,0,3,42,1,11.54,21.84
TASK-1073,QA Engineer,Web App,Junior,Development,0,12,2,1,7.94,0.0
TASK-1074,Backend Developer,Mobile App,Senior,Production,0,0,99,8,24.78,68.59
TASK-1075,Product Manager,Mobile App,Senior,Production,2,2,8,0,5.18,5.8
TASK-1076,Backend Developer,Web App,Junior,Development,0,1,84,8,21.91,67.65
TASK-1077,Product Manager,Web App,Junior,Development,4,1,4,0,3.87,13.55
TASK-1078,Product Manager,Web App,Mid-Level,Staging,17,2,15,0,9.92,44.26
TASK-1079,Backend Developer,Web App,Senior,Development,0,4,21,1,8.17,11.79
TASK-1080,Product Manager,Mobile App,Mid-Level,Development,3,0,16,0,4.94,31.77
TASK-1081,Backend Developer,API Service,Mid-Level,Staging,0,0,95,3,21.36,55.85
TASK-1082,Backend Developer,API Service,Junior,Production,0,3,92,5,23.0,52.48
TASK-1083,QA Engineer,Web App,Senior,Development,0,4,3,5,5.91,13.64
TASK-1084,QA Engineer,Internal Tool,Mid-Level,Staging,0,13,9,7,12.26,14.38
TASK-1085,Product Manager,Internal Tool,Senior,Development,11,1,14,0,7.81,30.18
TASK-1086,Product Manager,Mobile App,Senior,Staging,12,0,5,0,5.72,29.97
TASK-1087,Backend Developer,API Service,Junior,Production,0,1,18,2,5.11,13.9
TASK-1088,Product Manager,Web App,Mid-Level,Production,8,4,0,0,5.24,16.29
TASK-1089,Product Manager,Internal Tool,Senior,Development,7,0,12,0,5.17,30.3
TASK-1090,QA Engineer,Mobile App,Senior,Development,0,3,11,6,6.59,23.16
TASK-1091,QA Engineer,Mobile App,Junior,Production,0,3,6,3,4.61,0.04
TASK-1092,Product Manager,Mobile App,Senior,Development,8,4,8,0,7.42,23.67
TASK-1093,Product Manager,API Service,Mid-Level,Development,17,0,0,0,6.21,42.56
TASK-1094,Product Manager,API Service,Junior,Development,5,3,2,0,4.16,10.09
TASK-1095,Backend Developer,API Service,Senior,Production,0,0,58,1,13.6,41.08
TASK-1096,QA Engineer,Mobile App,Junior,Development,0,7,10,8,9.26,17.33
TASK-1097,QA Engineer,API Service,Junior,Staging,0,5,7,4,5.44,5.37
TASK-1098,QA Engineer,Web App,Senior,Production,0,2,4,9,6.24,17.7
TASK-1099,Product Manager,Internal Tool,Senior,Development,17,0,0,0,6.96,35.04
